gene,weight
SYT13,-6.0881113086187094e-06
SNAI2,-0.0003734359165529628
CD74,-0.5528875194955569
HGF,-0.00013751985429592755
ZRANB1,0.020519485229095302
NCDN,0.12976749382703434
ADGRA2,-0.003407503862054647
ZFP64,0.058974002635205636
MNAT1,0.19510541179386098
SAMD4A,0.05297133602153395
RUNX3,0.3544844539973595
MRE11,-0.06515644427631828
PLEKHB1,-0.07283929802300236
SERPINB1,-0.3377302961369326
CYP3A43,-9.005432853571013e-05
SLC7A9,-0.0011984001972855799
SPAST,-0.10873854786711779
NRXN3,-1.2862058045315333e-05
OSBPL5,-0.006586795963122037
AQR,0.14839840665006943
CPS1,-0.0017091146292359054
C8B,-0.00010062994422311074
FHL1,-0.020566872104468573
RTF2,0.04900212504144896
GABRA1,-2.103782935924033e-05
NLRP2,-0.03321843992838308
SLC45A4,0.043057590180441876
RNF10,-0.08780181494386752
ZNF839,0.07762969842498482
ZDHHC6,0.14895344275769684
GRAMD1B,0.6759110158727661
RNH1,0.3465757133759446
NDUFS1,0.04007897252001924
RB1CC1,-0.1312265307649172
ERP44,-0.007015010227395813
ALAS1,0.24988116524447523
BIRC3,0.9593680529400312
AKAP11,0.4852972114444928
GLRX2,0.25889216827958994
SNAPC1,0.34811981744609977
DERA,-0.39839263343539855
STRAP,0.577642511353955
ABCC2,-0.009896337873270298
DEF6,-0.6055954064365905
PLEKHO1,-0.7305534901870413
GCLM,0.030888795221802545
UBR2,-0.4181954254063127
EHD2,0.0002672805743453757
DEPDC1,-0.10201112820148106
CCDC28A,-0.29321519010782693
RRAGD,-0.09331978078937453
HSF2,0.08459225189964953
PHF20,0.014634843453222746
HSD17B6,-0.008737688961705285
NR1H3,0.012313914278873822
TYMP,-0.056363355656353864
NCAPH2,-0.10256464556630118
TOMM34,0.8244105579428836
SEC63,0.2776462808055674
KPNA6,0.18062119483827366
VIM,-1.7186953022205387
FAS,-0.2716651686710716
RNASET2,-0.18018037541052145
CD44,1.0497797262749238
KCNG1,0.06248047952316867
AGPAT4,-0.5305625375696077
SLAMF7,0.8150869689543094
BTN3A1,-0.2372381567614157
MIPEP,0.021531679957643157
PRKCH,-0.33070494822729435
INSRR,0.00036526155376131954
IFNGR1,-0.26357507460895435
B4GALT7,0.2854167897047231
SH2D2A,0.9094103566383686
VRK2,0.11295530102549445
TNFRSF1B,0.03144410876543824
VEZT,0.2208847441366394
POU2F2,0.6185542770813968
BRD9,0.198769266038753
SNX1,-0.13574405728711958
TBPL1,0.18396050732991576
BMAL2,0.2932837114514385
BCLAF1,0.12268426955452272
SLC39A9,0.09119480928226031
ANK1,0.38666790070344376
IBSP,-5.857554839215546e-06
TFB1M,0.18803456402356206
RABEP1,0.3027317965212426
