gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
MKNK1,-0.1690406,-0.0010421626818767,0.0007902482405849,0.4936321956189506,False,other,
MKNK2,-0.16879481,-0.0053532317387608,0.0007959894719821,0.6283749363219562,False,other,
MKRN2,-0.14287814,-0.0075357063805753,0.0006803851476503,0.6923076923076923,False,other,
MKRN3,-0.44437197,0.0029749180573349,0.0007150557366776,0.3624554253693327,False,other,
MKS1,0.056414682,-0.0254446304377026,0.0009369330170015,0.9612837493632196,False,other,
MLEC,0.1185547,0.0007108561630469,0.0008099243524451,0.434793683138054,False,other,
MLF1,-0.048362814,0.000880446009548,0.0006023792597188,0.4299541518084564,False,other,
MLKL,-0.29245222,0.0012083815310965,0.0006523055926482,0.4192562404482934,False,other,
MLLT3,-0.064425394,-0.0106717650245086,0.0008776460662267,0.7725420275089149,False,other,
MLLT6,0.025909085,-0.0078886488549235,0.0005380434938045,0.7030056036678554,False,other,
MLST8,0.15907827,0.0088293963178022,0.0010483384294203,0.2024961793173713,False,other,
MLX,-0.17591813,0.0075209573870174,0.0005165976689937,0.2320427916454406,False,other,
MLYCD,-0.016322382,-0.0191592348228009,0.0007563319144764,0.912633723892002,False,other,
MMAB,-0.46782115,-0.0145389823767075,0.0008123770154236,0.8578706062149771,False,other,
MMD,-0.29214048,0.0031502814433176,0.0006324260074243,0.3576158940397351,False,other,
MME,-0.26680797,0.014428622476612,0.0009456236637389,0.1013754457463066,False,other,
MMGT1,0.16678712,0.002433357668307,0.0008532477394704,0.380285277636271,False,other,
MMP28,0.10801037,-0.0256295736497699,0.0006057023397849,0.9630667345899134,False,other,
MMP9,-0.66131246,0.0038953608003365,0.0008461519135718,0.3341823739174732,False,other,
MNT,0.10826236,-0.0073469982312708,0.0006031176124263,0.6859398879266428,False,other,
MOB1A,-0.22010349,0.0213463962139764,0.0008827904171052,0.0310748853795211,False,other,
MOB1B,0.08422421,0.0136699914784784,0.0009493919891235,0.1130922058074375,False,other,
MOCS3,0.3035044,0.010946360053293,0.0010074652896683,0.1614875191034131,False,other,
MOGS,0.059589885,0.0056787592928446,0.0005605531187401,0.2840040753948039,False,other,
MON1A,-0.29610503,-0.0196928135826183,0.0009365018641549,0.9174732552215996,False,other,
MON2,-0.026402496,-0.0113603915106276,0.0005257709222035,0.7890983188996434,False,other,
MORC2,0.43283927,0.0020541800126341,0.0007476219012052,0.3930208863983698,False,other,
MORC3,0.11477209,0.005844703288285,0.0003451670075855,0.2801833927661742,False,other,
MORF4L1,-0.009998195,0.0061816177469878,0.0013411945620177,0.2697401935812532,False,other,
MORF4L2,0.29124716,0.0010361953088,0.0009107823047743,0.4263881813550688,False,other,
MORN1,0.29220223,-0.0053007715758297,0.0005650999019853,0.6268466632705043,False,other,
MOSMO,0.036909726,-0.0063115604620416,0.0007813534341193,0.6548650025471218,False,other,
MOSPD1,-0.08873454,-0.0167600907305081,0.0007537829199861,0.8858889454915945,False,other,
MOSPD2,-1.1431328,0.003726423907079,0.0006304914747259,0.3392766174223128,False,other,
MOV10,-0.3136754,-0.002236210452082,0.0009887324311845,0.5336220071319409,False,other,
MPG,-0.03683904,-0.0010525146647933,0.0008933391875571,0.4938869077941926,False,other,
MPHOSPH9,0.12358373,0.0071745267088219,0.0007864983201388,0.2409577177789098,False,other,
MPI,-0.71062285,0.0014892943705359,0.0005399723676929,0.4095771777890983,False,other,
MPIG6B,-0.2826116,-0.0079535931035796,0.0010350882753088,0.7050433010697912,False,other,
MPLKIP,-0.20477988,0.003906944757799,0.0006495489721719,0.3334182373917473,False,other,
MPND,0.2475386,-0.0109110536249803,0.0006418682909165,0.7796739684156903,False,other,
MPP2,0.010739192,-0.012318090767538,0.0008978417496737,0.8117677024961794,False,other,
MRC2,-0.14295934,-0.0128506302163668,0.0009218649493119,0.8242485990830362,False,other,
MRGBP,-0.25972766,0.0066487045704591,0.0009069110354379,0.2544574630667346,False,other,
MRM2,-0.058644578,0.0179906007364021,0.0006781156059886,0.0570555272542027,False,other,
MROH6,-0.11584753,-0.0100252718190386,0.0004126400519576,0.7592969943963321,False,other,
MRPL10,-0.1861214,0.0195617988483522,0.0007172789527725,0.0443199184921039,False,other,
MRPL11,-0.0714184,-0.0016791116811898,0.0004735263633158,0.5155374426897605,False,other,
MRPL13,-0.14726338,0.0139063862401024,0.0006172936771799,0.108507386653082,False,other,
MRPL14,-0.03989332,0.0185764299135373,0.0007320083504118,0.0522159959246052,False,other,
MRPL15,-0.18591468,0.0029214958405063,0.0008272563618627,0.3644931227712684,False,other,
MRPL16,0.097960465,0.0001763636898962,0.0005513117029635,0.4470198675496689,False,other,
MRPL17,0.23710546,0.0037722445967822,0.0006009962608746,0.3385124808965868,False,other,
MRPL18,0.04878602,-0.0017471954448894,0.0005364397352983,0.5170657157412124,False,other,
MRPL19,-0.055295806,-0.0059049133162081,0.000737227549657,0.6436576668364747,False,other,
MRPL2,0.016005363,2.6082427927861808e-05,0.0003576487719298,0.4538970962812022,False,other,
MRPL21,-0.15000507,-0.0033095605014179,0.0008663237395744,0.5687722873153337,False,other,
MRPL22,0.089494005,0.0052679030044694,0.0005546537214835,0.2954661232806928,False,other,
MRPL23,-0.077216156,-0.0078541766232023,0.0003601535009381,0.7017320427916455,False,other,
MRPL3,-0.0060268193,0.0103996573138074,0.0003144267099857,0.1716760061130922,False,other,
MRPL32,0.019505396,0.0125670944693437,0.0008628000565904,0.1319409067753438,False,other,
MRPL33,0.062191356,0.0195375025710907,0.0005681823600866,0.0445746306673459,False,other,
MRPL34,0.24644598,0.0073802094603236,0.0003972034671927,0.2363728986245542,False,other,
MRPL35,-0.34981146,0.0013620964991655,0.0006395979790312,0.412633723892002,False,other,
MRPL36,0.14082761,0.0157981478600195,0.000696460344802,0.0843097300050942,False,other,
MRPL37,0.19212066,-0.0029099349571751,0.0005175976693819,0.5542536933265411,False,other,
MRPL39,0.028702345,0.0162762915622508,0.0005213712528674,0.0781966377992868,False,other,
MRPL42,0.4032389,0.0069765162099309,0.0004940229372878,0.2463066734589913,False,other,
MRPL43,0.027678829,0.0056839532770704,0.0005899624585926,0.2837493632195619,False,other,
MRPL45,0.09548175,0.0136228753248749,0.0006232579954552,0.1138563423331635,False,other,
MRPL46,0.041660465,0.0081893764531872,0.0004742592879229,0.2182883341823739,False,other,
MRPL47,-0.3753286,0.0098731552756253,0.0007159004642549,0.1803362200713194,False,other,
MRPL49,0.25934964,0.005883698076307,0.0005788242610847,0.2796739684156902,False,other,
MRPL50,-0.023178764,0.0023281736215787,0.0008875434293651,0.3833418237391747,False,other,
MRPL52,0.13567631,0.0064272075835031,0.0007531925781786,0.2603158430973,False,other,
MRPL53,-0.04717375,0.0081670460142857,0.0009462029966489,0.2190524707080998,False,other,
MRPL54,0.21548581,0.0051818579591753,0.0007131513280631,0.2975038206826286,False,other,
MRPL55,0.037992977,-0.0026597978723092,0.0006774429445085,0.5461029037187978,False,other,
MRPL57,-0.08504155,0.0105371046417989,0.000674083892789,0.1688741721854304,False,other,
MRPL58,0.34275833,0.0131140155477139,0.0005767357656889,0.1212429954151808,False,other,
MRPL9,-0.021381155,0.0122034915149615,0.0006023290414063,0.140346408558329,False,other,
MRPS10,-0.19553034,0.0164847796532346,0.0008941669759388,0.075140091696383,False,other,
MRPS11,-0.28742552,-0.0030491366024779,0.0005718610768831,0.5583290881304126,False,other,
MRPS12,-0.08725285,0.0018617155279776,0.0005841254149947,0.3976057055527254,False,other,
MRPS14,-0.115307346,0.0072413200807155,0.0006704303456673,0.238920020376974,False,other,
MRPS15,0.0651653,0.0068696739206143,0.0003221581893752,0.249363219561895,False,other,
MRPS16,-0.23213683,0.0121016299101987,0.0005580844279571,0.1421293937850229,False,other,
MRPS17,-0.1421079,0.0006705074149731,0.0003615899794149,0.4355578196637799,False,other,
MRPS18B,0.07781179,0.0021778532631591,0.001211029500298,0.3892002037697402,False,other,
MRPS18C,0.18902507,0.0028042184843311,0.0004625803335639,0.3667855323484462,False,other,
MRPS2,0.035848647,0.0003355470060677,0.0005415668812164,0.4434538970962812,False,other,
MRPS21,-0.12137156,-0.002660321989014,0.000385116894942,0.5463576158940397,False,other,
MRPS22,0.15662855,-0.008312760858452,0.0008012646016229,0.7152317880794702,False,other,
MRPS23,-0.075395726,0.0001186206821403,0.0004665470558776,0.4498217014773306,False,other,
MRPS24,0.13927883,0.0087985409812643,0.0004531061650968,0.2042791645440652,False,other,
MRPS25,0.05470398,0.0087487524405207,0.0005935345482538,0.2050433010697911,False,other,
MRPS26,-0.19530872,0.023129652481601,0.0003443534658009,0.0229240957717778,False,other,
MRPS27,-0.2702763,0.0053876252273729,0.0008292013951445,0.2906265919510952,False,other,
MRPS31,0.15763845,0.0039837048989335,0.0004317993017618,0.3303616912888436,False,other,
MRPS34,-0.097450346,0.0185225638304701,0.00061366924117,0.053489556800815,False,other,
MRPS35,-0.0063422397,0.008801100090828,0.0002840035977453,0.2035150280183393,False,other,
MRPS5,-0.023402516,0.0033972232593577,0.0004357974878552,0.3497198166072338,False,other,
MRPS6,-0.071079716,0.0159738919744618,0.0011097525573029,0.0827814569536423,False,other,
MRPS7,0.09632528,0.0236275965818733,0.0006272238897658,0.021395822720326,False,other,
MRPS9,0.1201906,-0.0019431601124535,0.0004602443565279,0.5257259296994397,False,other,
MRRF,0.49739406,-0.010878768400386,0.0008052786263134,0.7781456953642384,False,other,
MRS2,-0.17635252,-0.0135102353514382,0.0009445486892495,0.8357106469689252,False,other,
MRTFB,0.3775275,-0.0098569217842239,0.0011506950394543,0.7554763117677025,False,other,
MSANTD4,-0.45006424,-0.0145286785220792,0.0006710487847182,0.8576158940397351,False,other,
MSH5,0.015473738,-0.0048808464477569,0.0009455294443127,0.6138563423331636,False,other,
MSI2,-0.15010174,-0.0063265258438438,0.0009298942811721,0.6553744268976057,False,other,
MSL1,-0.6562479,0.0019757503328576,0.0012999981205992,0.3948038716250637,False,other,
MSL2,0.22609103,0.0175816544917304,0.0009679274599511,0.0613856342333163,False,other,
MST1,-0.39472166,-0.0031580669560868,0.0005563045200831,0.5626591951095262,False,other,
MT1E,0.20876679,0.0154216868300704,0.0008901900836409,0.0873662761079979,False,other,
MT3,-0.055887803,0.0274876492116092,0.0010764750951077,0.0094243504839531,False,other,
MTA2,-0.29373276,-0.0019025282703704,0.0008677619542664,0.5234335201222619,True,other,
MTA3,-1.4003677,-0.0274796584290805,0.0006562545526268,0.9724910850738664,False,other,
MTCH1,0.33518645,0.0149581871536678,0.0006170043715706,0.0939887926642893,False,other,
MTCH2,0.082926236,0.0096716375710681,0.0009339845398341,0.184411614875191,False,other,
MTERF2,-0.336735,-0.0070017875483797,0.0007514198778407,0.6772796739684157,False,other,
MTERF3,-0.025421232,-0.0013052812962766,0.0007943676517728,0.5012735608762099,False,other,
MTF1,0.18197724,0.0090501379842445,0.0009000319113534,0.1961283749363219,False,other,
MTF2,0.4511091,0.0049072561111313,0.0008639025885116,0.3048904737646459,False,other,
MTFR1,-0.24956329,0.0046765453305663,0.0005627399534004,0.3110035659704533,False,other,
MTG1,0.13087234,0.020467328443091,0.0007161125058333,0.0374426897605705,False,other,
MTG2,-0.027725965,-0.0204604563696085,0.0007081522052251,0.9266428935303108,False,other,
MTHFD1,0.07280303,-0.0075311066275727,0.0007110019197782,0.6920529801324503,False,other,
MTHFD1L,0.26631695,0.0097071845196903,0.0007546620382777,0.1833927661742231,False,other,
MTHFD2,-0.091104984,-0.0062855843618432,0.0008563972942138,0.6541008660213958,False,other,
MTIF2,0.110026784,0.0002928036427801,0.000680979017888,0.4447274579724911,False,other,
MTMR10,0.15179844,0.027804064044764,0.0007564669210564,0.0086602139582272,False,other,
MTMR3,-1.2618296,-0.0020442220930131,0.0007981074534284,0.5282730514518594,False,other,
MTOR,-0.12640291,0.0186314746436018,0.0011169522434183,0.0511971472236372,False,other,
MTPAP,-0.08584948,-0.0075629346286606,0.0008733934123376,0.6933265410086602,False,other,
MTRR,0.24071652,-0.0142936961887052,0.0008660690326916,0.8517575140091697,False,other,
MTX1,-0.1284816,0.0006837694701299,0.0008768139204553,0.435048395313296,False,other,
MTX2,-0.08588028,0.0089484761058028,0.000614046385077,0.1991849210392256,False,other,
MUC3A,0.01015912,-0.0133267228600403,0.0008196777309492,0.8326541008660214,False,other,
MUC4,0.3827741,-0.0191567995086132,0.0006480557590545,0.912124299541518,False,other,
MUS81,0.22167864,0.0128503609006102,0.0006872876875575,0.1258278145695364,False,other,
MUTYH,0.0018315092,-0.0039618887312923,0.0005797698082141,0.5840550178298523,False,other,
MVB12B,-0.42474318,0.011370530586399,0.0008894593249314,0.1541008660213958,False,other,
MVD,0.040813528,-0.0119389704179983,0.0006405361153652,0.8020886398369842,False,other,
MVP,-0.121248394,0.0056312656866229,0.0008136657933,0.2845134997452878,False,other,
MXI1,0.03333783,-0.0136738813482425,0.0010191829976819,0.8387671930718288,False,other,
MYB,-0.039168343,0.01535340992894,0.0009327477331392,0.0881304126337239,False,other,
MYC,-0.43766716,0.0165857830376627,0.0004155447135446,0.0741212429954151,False,other,
MYCN,0.4478834,-0.0068124051517688,0.0009903532517827,0.6696383087111564,False,other,
MYDGF,0.0026901597,-0.0146450936511301,0.0008283413308257,0.8593988792664289,False,other,
MYEF2,0.10638066,0.0016485403550553,0.0006999944906398,0.4029546612328069,False,other,
MYH14,0.2555152,-0.0084922609844603,0.0008905026388218,0.7213448802852777,False,other,
MYH9,-0.26538247,0.0164374603125451,0.0007664428793548,0.075649516046867,False,other,
MYL12A,0.051953197,-0.0055709974250683,0.0009471976116164,0.6342333163525217,False,other,
MYL5,-0.0036645867,0.0167737444579768,0.0008349834795162,0.0710646968925114,False,other,
MYL9,-0.07132836,-0.0031614276169065,0.0007810194505944,0.5631686194600102,False,other,
MYNN,-0.28647676,-0.0084107624027783,0.0004603687893579,0.7185430463576159,False,other,
MYO16,0.1846812,-0.0045307419937451,0.0010185924203671,0.6041772796739684,False,other,
MYO1F,0.11694505,-0.0023968534844916,0.0006028808675035,0.5392256749872644,False,other,
MYO6,0.19854805,-0.002494678118519,0.0008021977233716,0.5417727967396841,False,other,
