gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
TTC31,-0.040396217,,0.099631189848105,1.0,477.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MS4A1,-0.040339105,,0.0911265814919959,0.0,334.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
SH2B3,-0.040338825,,0.0713280667992431,0.0,711.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CNOT2,-0.040317632,,,10.0,191.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TENT2,-0.04025713,0.1914072538462482,0.0948988134620546,1357.0,984.0,2.0,False,True,False,False,False,novel,,0.4503,,polarization,Stim8hr,T-cell-specific(measured),True,True
TAS2R5,-0.04025674,,0.0995512349439414,0.0,632.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ARL1,-0.040252797,,,9.0,403.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ERGIC3,-0.04023203,,,155.0,2917.0,2.0,False,True,False,False,False,novel,,0.3484,,polarization,Stim8hr,T-cell-specific(measured),True,True
SLAIN1,-0.04019137,,-0.0389630893310441,0.0,789.0,1.0,True,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
MAML3,-0.040160626,,0.133850028341102,0.0,721.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ATG12,-0.040135678,,,176.0,624.0,2.0,False,True,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
DCUN1D2,-0.040131398,0.4413557475405273,-0.0835645964786409,15.0,295.0,2.0,False,True,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
LAMP1,-0.040117938,0.6870091070922728,0.1074311995641919,12.0,758.0,2.0,False,True,False,False,False,authors-nominated,,0.344,,polarization,Stim8hr,T-cell-specific(measured),True,True
ZNF275,-0.040056225,,0.1160825466298424,0.0,705.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
KRR1,-0.04002738,,,145.0,66.0,2.0,False,True,False,False,False,novel,,0.4367,,polarization,Stim8hr,T-cell-specific(measured),True,True
CLINT1,-0.040013477,1.0,0.041354869277913,1.0,866.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
TNFRSF10A,-0.039934233,0.973681745337424,0.0405341681372631,0.0,686.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PPP1R21,-0.03992241,0.7285065626612754,0.0755422643481349,3.0,389.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
NEUROG3,-0.039889745,,,0.0,468.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
CYGB,-0.039866187,-1.0,0.0971123184491658,3.0,902.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
QPCTL,-0.039847553,0.0862124264832935,0.0674401463024333,18.0,679.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
LARS2,-0.039840132,0.7488731946424181,0.1379896780034683,812.0,414.0,2.0,False,True,False,False,True,novel,,0.3864,,polarization,Stim8hr,T-cell-specific(measured),True,True
PLEKHF1,-0.039825268,,0.0737907645078812,0.0,378.0,2.0,False,True,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
GLUD1,-0.039781686,0.9909009375856316,0.0413446873330016,1.0,551.0,2.0,False,True,False,True,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
PRRX1,-0.039776094,,,1.0,481.0,2.0,False,False,False,False,False,novel,,,,polarization,Stim8hr,no-K562-data,True,False
ZBTB1,-0.039742533,0.9317442832931084,0.1963696754020035,118.0,416.0,2.0,False,True,False,True,False,novel,,0.4104,,polarization,Stim8hr,T-cell-specific(measured),True,True
