gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
TSKU,0.10159623,-1.0,0.0438373083973657,2.0,926.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
IL17F,0.10159661,-0.0207701774717497,0.0887795272976111,21.0,1306.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZDHHC13,0.10166409,1.0,-0.0024884658788146,1.0,362.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
PRR5L,0.10169179,,0.0941563792851179,0.0,407.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
KLF9,0.101730786,0.9817726188893696,0.0724050556258581,2.0,467.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CDC42BPB,0.101763695,,0.0612184479942928,0.0,491.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TNF,0.10180916,0.9962190442770362,0.1229780932131534,4.0,468.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
WIPF1,0.10183011,,0.0751644151644561,0.0,593.0,2.0,False,False,False,False,False,authors-nominated,,,,activation,Stim8hr,no-K562-data,True,False
INSM2,0.101837665,,,0.0,553.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TOR2A,0.101844065,,0.0652886214190906,0.0,248.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CDC42,0.10185537,,,1.0,444.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
N4BP2,0.10192511,1.0,0.0498782666084815,1.0,1022.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
KLHL32,0.101932675,,0.0947325940884672,0.0,538.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
DAP3,0.10194431,,0.1373038674733649,0.0,403.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
BTBD2,0.10197729,-0.4081373930806012,-0.0619763731688318,93.0,690.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CSNK1G3,0.10200843,,,9.0,164.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
